Class,Title,Description,BodyText,ImageSrc,ImageSrc2,Caption,Caption2,Link,Keywords,
leftDoubleImage,MONOM Studio,Design studio,"Berlin's Funkhaus, infamously known for its rich history of performances and events, transforms its space to host Spatial in 2025. Spatial is an immersive and spatial sound festival offering the chance to witness experimental sonic spaces.The dynamic website, designed by Monom Studio, captures the essence of Spatial, truly embodying the festival's constant movement through physical environments, digital realms and sound. ",images/SpatialFest1.jpg,images/SpatialFest.jpg,,"Spatial Festival Website, 2025.",https://spatial-festival.com/,"MotionGraphics, DynamicDesign", 
left,Nicholas Marriott,Melbourne New Media Artist,"Nicholas Marriot is a queer new media artist based in Melbourne/Naarm. They specialise in working with real time systems and live coding, experimenting with shifting digital spaces and new emerging physical forms. Subjects of their works include distorted visuals mirroring the refracted perceptions of identity and gender. Marriott's practice involves blending the physical and digital, inviting more accessibility to the technology and tools that have been shaped by capitalist desire. 

This particular visual caught my attention with its creative use of space and typography. The dynamic movement of type responding to sound is both intriguing and mesmerising. The shattering visual breaking through the words ""panic"" and ""forget"" is a powerful statement emphasised by the scale and Marriott's ability to engage audiences by all their senses. ",https://freight.cargo.site/w/1500/q/75/i/M2521577774570049776303015283520/IMG_5323-min.png,,"Live Visual Coding, Six12 with Steve Pan, Odd Chaos, Pop Pop with Cy_.",,https://nicholaspjm.com/,"ProjectionMapping, LiveCoding",
leftDoubleImage,DV Studio & Twin,Record studio and Film studio,"Design studio, DV, and filmmakers, Twin, work together as jazz lovers to capture the various sounds and feelings through a standard drum set. Intrigued by the minute fluctuations produced by frenetic jazz drums, they assigned certain shapes to different sounds to visually capture and interpret the sounds of the bass, snare and cymbals. 

It would be interesting to live code something like this to apply it to different songs and arrangements. DV and Twin managed to hand illustrate the graphics and align the graphic animations manually, but it'd be interesting to see what the animations would look like with a coded system.",https://admin.itsnicethat.com/images/T6ffh-N8scqA0AZ5eHBjCmgY4ZE=/276362/format-webp%7Cwidth-2880/Dv-studio-twin-film-itsnicethat-2.png,https://admin.itsnicethat.com/images/JPF0RFysNAoS-dpkNG4bfbAAPHc=/276365/format-webp%7Cwidth-2880/Dv-studio-twin-film-itsnicethat-5.png,,"DV Studio & Twin: A Visual Exploration into Jazz (Copyright © DV Studio x Twin, 2026), Starring Mackwood.",https://www.twin-film.com/projects/mackwood,"Animation, Film, Music",
left,Alida Sun ,Multidisciplinary Artist,"Alida Sun is a multidisciplinary artist whose practice blends physical and digital media, exploring the presence, resistance and everchanging nature of adaptation in a tech-driven world.  Sun explores the concept of  ""alien"" and the ""other"", influenced by her own background and as a human exploring the digital realm. Exposing these often uneasy topics of conversation, Sun intentionally works with free and open-source frameworks to promote accessibility. Alida Sun's social media posts capture a more lighthearted and whimsical depiction of her computer art in the form of visualisers.

",https://pradocdn.s3.eu-central-1.amazonaws.com/ethereum/0xb69eefb794f726251dfc2333424c27fd1ef68cac/2/1500-maintain_aspect_ratio.png,,"Insomnia Drawing Simulation, Alida Sun, 2023.",,https://tgam.xyz/artist/alida-sun,"GenerativeArt, CreativeCoding",
left,Can Touch This Studio,Interactive design studio,"This project features a 10 metre table with interactive elements shrouded in darkness and merely illuminated by the tranquil movement of the digitally projected waves and sensor enabled corals that respond to sound and touch. Each coral is meticulously designed and embedded with sensors that respond to touch and proximity, triggering shifting soundscapes and interactive visual worlds. With reactive environments the installation becomes a living interface: a digital reef that listens, glows and transforms. A mesmerising example of how immersive design can echo the rhythms of the ocean while reimagining interactivity as a sensory encounter.",images/corals_lamer.png,,"CORALS for Lamer, Interactive Installation, 2025.",,https://www.instagram.com/cantouchthis.studio/,"Installation, ImmersiveDesign, Interactive",
leftDoubleImage,JAGO,Italian sculptor,"Created in 2017, Circulatory System is the result of a journey that merges art and technology to give shape to the invisible. Each frame became a unique glazed ceramic heart, capturing a specific moment in a single heartbeat. Accompanied by the echoing sound of a beating heart, the seemingly immobile medium of ceramic is brought to life. Following the concept of humans ""breathing life"" into our creations, This evocative installation by JAGO lays bare the human heart and transforms it into a powerful and immortalised statement.",https://jago.art/wp-content/uploads/2025/05/Copia-di-Apparato-circolatorio-dettaglio_006-scaled.jpg,https://jago.art/wp-content/uploads/2025/04/Copia-di-Apparato-circolatorio-scaled.jpg,,"Circulatory System, 2025. ",https://jago.art/en/apparato-circolatorio-un-cuore-pulsante-a-expo-osaka-2025/,"Installation, ImmersiveDesign",
left,Rafael Lozano-Hemmer,Media Artist,"Pulse Topology comprises of 3,000 suspended light bulbs that each pulse with the individual heartbeat rhythms of the most recent visitors to the piece. The installation offers a strangely intimate experience highlighting human life beyond yourself. ",https://cdn.mos.cms.futurecdn.net/onk2tXJxo4neqAAsJJcZr7-944-80.jpg.webp,,"Pulse Topology, 2021.",,https://www.lozano-hemmer.com/pulse_topology.php,"Installation, ImmersiveDesign, Interactive",
leftDoubleImage,Bjarke Ingels Group,Architecture firm,"BIG♥NYC is made up of 400 transparent, LED-lit, acrylic tubes that form a cube around a suspended red heart. The heart responds to touch, emitting a glow and steady heartbeat as if responding to physical affection. The more people who feel the sensor at one time, the faster the heart will beat. This response encourages strangers to come together and embrace love. It's a largescale yet simple installation that brings strangers together in a really meaningful way.",https://www.domusweb.it/content/dam/domusweb/en/news/2012/02/10/big-loves-nyc/big_373970_6229_web_02_Image-by-Ho-Kyung-Lee1.jpg.foto.rmedium.jpg,https://www.domusweb.it/content/dam/domusweb/en/news/2012/02/10/big-loves-nyc/big_373970_9307_web_03_Image-by-Ho-Kyung-Lee.jpg.foto.rmedium.jpg,,"BIG♥NYC, 2012.",https://big.dk/projects/times-square-valentine-2678,"Installation, Interactive",
leftDoubleImage,ED Studio,Design studio,"NewActon is a public mixed-use precinct located in Canberra, Australia. The combination of sustainable architecture, vibrant public art and well-curated gardens creates a comforting space that bridges urban life and nature. The website reflects the solace of the space with responsive doodle illustrations as icons. The simple floating animation of the icons alongside the gradual shifting colours further adds to the sense of calmness the precinct is intended to evoke. The overall layout is minimal and can be easily navigated with only a few clicks. ",images/NewActon2.jpg,images/NewActon.jpg,,NewActon website,https://newacton.com.au/#map,"WebDesign, ResponsiveDesign",
leftDoubleImage,Artem Shcherban,Digital designer,This portfolio website includes a lot of dynamic movement through videos and animations. The full-screen video montage is very immersive and the design of the drop-down is minimal yet packs a lot of considered detail in how it unfolds.,images/Artem1.jpg,images/Artem2.jpg,,Artem Shcherban website,https://artemshcherban.com/,"WebDesign, ResponsiveDesign",
